,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
70707,2024-05-29,2024,8,EFT-BMS-EY240051723,852430.6,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
70849,2024-05-30,2024,8,EFT-BMS-EY240051828,333260.07,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
70878,2024-05-30,2024,8,EFT-BMS-EY240051851,518004.0,399372,The Around The Clock Freightliner Group Llc,75247,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
70957,2024-05-30,2024,8,EFT-BMS-EY240051920,329634.0,VC30752,"Mccrometer, Inc.",92545,SWRC,Sewer Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3110,Repair&Maint Serv Equip,92693.0,"TESTING AND MONITORING SERVICES FOR AIR, GAS, AND WATER",,
71005,2024-05-30,2024,8,EFT-BMS-EY240051956,379102.35,VS96112,"Flatiron Constructors, Inc.",75038,AVIC,Aviation Capital Program,AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
71006,2024-05-30,2024,8,EFT-BMS-EY240051956,1137307.08,VS96112,"Flatiron Constructors, Inc.",75038,FDGT,Federal Grant (non Consolidated Plan),AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
71223,2024-05-31,2024,8,EFT-BMS-EY240052107,1294700.0,VS0000023852,"Mythics, Llc",23462,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3438,Software Maint Fee,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
71228,2024-05-31,2024,8,EFT-BMS-EY240052111,1005142.71,VS0000039231,Texas Kenworth Company Llc,75247,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,SS03,Landfill Management,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
71324,2024-06-03,2024,9,EFT-BMS-EY240052156,2562103.29,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71326,2024-06-03,2024,9,EFT-BMS-EY240052158,1609710.52,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71328,2024-06-03,2024,9,EFT-BMS-EY240052160,2466818.39,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71354,2024-06-03,2024,9,EFT-BMS-EY240052182,1064306.52,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71355,2024-06-03,2024,9,EFT-BMS-EY240052183,1052781.64,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71361,2024-06-03,2024,9,EFT-BMS-EY240052190,2015972.12,VS95224,"Thalle Construction Company,Inc.",27278,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71362,2024-06-03,2024,9,EFT-BMS-EY240052191,2779564.24,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71363,2024-06-03,2024,9,EFT-BMS-EY240052192,372480.75,VS0000056543,Southland Contracting Inc.,76051,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71412,2024-06-03,2024,9,EFT-BMS-EY240052231,898632.8,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71485,2024-06-03,2024,9,EFT-BMS-EY240052283,395087.9,VC24588,"Roeschco Construction, Llc",75033,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,INGV,Intergovernmental Partnership Projects,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71638,2024-06-04,2024,9,EFT-BMS-EY240052357,745063.15,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71640,2024-06-04,2024,9,EFT-BMS-EY240052357,720318.55,VC22277,"Western Municipal Construction Of Texas, Llc",76247,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71780,2024-06-04,2024,9,EFT-BMS-EY240052458,535121.27,VC20595,United Way Of Metropolitan Dallas,75202,CVID,COVID-19,MGT,Management Services,BM01,MGT Department Support,QV,Contractual & Other Services,3070,Professional Services,95285.0,SUPPORT SERVICES,,
71815,2024-06-04,2024,9,EFT-BMS-EY240052485,536144.62,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
71926,2024-06-05,2024,9,EFT-BMS-EY240052544,829139.49,125824,Bar Constructors Inc ^,75146,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71930,2024-06-05,2024,9,EFT-BMS-EY240052554,344149.66,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71934,2024-06-05,2024,9,EFT-BMS-EY240052556,521755.1,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71935,2024-06-05,2024,9,EFT-BMS-EY240052557,391666.0,VC21437,Douglas Dailey Construction Llc,75125,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71942,2024-06-05,2024,9,EFT-BMS-EY240052560,836456.19,VS0000016343,"Garver, Llc",75034,WTRC,Water Capital Program,DWU,Water Utilities,MJMR,Major Maintenance & Rehabilitation,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
71945,2024-06-05,2024,9,EFT-BMS-EY240052562,468527.57,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
71946,2024-06-05,2024,9,EFT-BMS-EY240052562,333495.02,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
72343,2024-06-06,2024,9,EFT-BMS-EY240052824,649068.5,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
72348,2024-06-06,2024,9,EFT-BMS-EY240052827,560722.94,VC14110,Ragle Inc,76180,BP12,2012 General Obligation Bond Program,SDM,Stormwater Drainage Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
72361,2024-06-06,2024,9,EFT-BMS-EY240052836,413817.48,VS0000036279,"Austin Filter Systems, Inc.",78641,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
72820,2024-06-07,2024,9,EFT-BMS-EY240053168,602946.75,VC24664,Lake Country Chevrolet Inc,77656,GNFD,General Fund,DPD,Dallas Police Dept,DP01,Police Field Patrols,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
73050,2024-06-10,2024,9,EFT-BMS-EY240053302,1183527.22,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
73052,2024-06-10,2024,9,EFT-BMS-EY240053303,586862.12,VS90299,Southland Mole Joint Venture,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
73122,2024-06-10,2024,9,EFT-BMS-EY240053356,424796.21,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
73173,2024-06-10,2024,9,EFT-BMS-EY240053399,430676.25,VC24664,Lake Country Chevrolet Inc,77656,GNFD,General Fund,DPD,Dallas Police Dept,DP01,Police Field Patrols,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
73369,2024-06-11,2024,9,EFT-BMS-EY240053493,398638.95,VS0000036279,"Austin Filter Systems, Inc.",78641,OTDB,Other GO CIP  - Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
73560,2024-06-11,2024,9,EFT-BMS-EY240053631,448874.5,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
73628,2024-06-12,2024,9,EFT-BMS-EY240053655,1400098.17,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
73749,2024-06-12,2024,9,EFT-BMS-EY240053748,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
73867,2024-06-12,2024,9,EFT-BMS-EY240053842,425000.0,VS0000056486,Carbon Activated Corporation,77011,EFOP,Enterprise Operating Fund,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,QM,Supplies & Materials,2720,Mach Tool & Implement Maj,88500.0,WATER AND WASTEWATER TREATING CHEMICALS,,
73915,2024-06-12,2024,9,EFT-BMS-EY240053874,2370430.12,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
73916,2024-06-12,2024,9,EFT-BMS-EY240053874,1244230.0,VS96112,"Flatiron Constructors, Inc.",75038,FDGT,Federal Grant (non Consolidated Plan),AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
73917,2024-06-12,2024,9,EFT-BMS-EY240053874,414743.33,VS96112,"Flatiron Constructors, Inc.",75038,AVIC,Aviation Capital Program,AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
73965,2024-06-13,2024,9,AD-BMS-AY240015002,464775.25,268067,F & A Officer Usace,76102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
74124,2024-06-13,2024,9,EFT-BMS-EY240053993,2198145.55,VC22987,Dallas Tourism Public Improvement District Corporation,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
74317,2024-06-14,2024,9,EFT-BMS-EY240054097,823762.06,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74326,2024-06-14,2024,9,EFT-BMS-EY240054103,610966.73,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74412,2024-06-14,2024,9,EFT-BMS-EY240054187,374289.55,VS0000082137,"Landmark Structures I, L.P.",76177,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74493,2024-06-14,2024,9,EFT-BMS-EY240054237,693196.68,519397,"Overland Partners, Inc.",78215,OTPK,Other Park Recreation,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4112,Architectural Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
74501,2024-06-14,2024,9,EFT-BMS-EY240054244,731905.25,VC0000003594,"Phoenix I Restoration And Construction, Llc",75234,RESV,Reserve Fund,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,91000.0,"BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES",,
74689,2024-06-17,2024,9,EFT-BMS-EY240054361,387178.09,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74692,2024-06-17,2024,9,EFT-BMS-EY240054364,2276045.18,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74699,2024-06-17,2024,9,EFT-BMS-EY240054369,349889.13,VC22277,"Western Municipal Construction Of Texas, Llc",76247,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
74948,2024-06-17,2024,9,EFT-BMS-EY240054539,446395.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
75225,2024-06-18,2024,9,EFT-BMS-EY240054718,335681.0,VC31196,Vertosoft Llc,20175,GNFD,General Fund,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3440,IT Cloud Services,92000.0,"DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES",,
75310,2024-06-18,2024,9,EFT-BMS-EY240054768,453431.98,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
75384,2024-06-20,2024,9,AD-BMS-AY240015220,334136.0,VC16751,Sbc Global Services Inc,75202,CVID,COVID-19,DSV,Communication & Info Svcs,TECH,Technology,QM,Supplies & Materials,2731,Data Processing Equipment,91800.0,CONSULTING SERVICES,,
75386,2024-06-20,2024,9,AD-BMS-AY240015220,496899.0,VC16751,Sbc Global Services Inc,75202,CVID,COVID-19,DSV,Communication & Info Svcs,TECH,Technology,QV,Contractual & Other Services,3070,Professional Services,91800.0,CONSULTING SERVICES,,
75409,2024-06-20,2024,9,EFT-BMS-EY240054796,824025.58,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75410,2024-06-20,2024,9,EFT-BMS-EY240054797,2946600.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
75603,2024-06-20,2024,9,EFT-BMS-EY240054953,598349.49,VS0000040276,"The Fain Group, Inc.",76106,FDGT,Federal Grant (non Consolidated Plan),PKR,Park & Recreation,HIBT,Hike And Bike Trails,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75721,2024-06-21,2024,9,EFT-BMS-EY240054999,3101038.13,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75722,2024-06-21,2024,9,EFT-BMS-EY240055000,659810.36,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75727,2024-06-21,2024,9,EFT-BMS-EY240055005,374358.25,345379,Omega Contracting Llc,75212,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75770,2024-06-21,2024,9,EFT-BMS-EY240055050,535924.75,011466,Tiseo Paving Co,75150,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
75826,2024-06-21,2024,9,EFT-BMS-EY240055095,486555.36,517440,Axon Enterprise Inc.,85255,CVID,COVID-19,DPD,Dallas Police Dept,DP30,Police Technology And Technical Support,QM,Supplies & Materials,2890,Miscellaneous Equipment,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
76065,2024-06-24,2024,9,EFT-BMS-EY240055239,913147.74,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
76130,2024-06-24,2024,9,EFT-BMS-EY240055305,1478770.01,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
76212,2024-06-24,2024,9,EFT-BMS-EY240055368,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
76290,2024-06-24,2024,9,EFT-BMS-EY240055412,878168.45,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
